BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
184119	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncccn2)c1-n1nccn1	2590
184120	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncccn2)c(c1C)-n1nccn1	2260
184121	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cc(Cl)ccc1-n1nccn1)-c1ncccn1	490
184122	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccc(Cl)cc1-n1nccn1)-c1ncccn1	268
184123	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cccc(Cl)c1-n1nccn1)-c1ncccn1	655
184124	C[C@@H]1OCCN([C@@H]1Cc1cccc(c1)-n1nccn1)C(=O)c1cc(C)ccc1-n1nccn1	2530
184125	C[C@@H]1OCCN([C@@H]1Cc1cccc(c1)-n1nccn1)C(=O)c1ccc(C)cc1-n1nccn1	1864
184126	C[C@@H]1OCCN([C@@H]1Cc1cccc(c1)-n1nccn1)C(=O)c1cccc(C)c1-n1nccn1	4040
184127	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-c2cccnn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	1296
184128	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2cccnn2)c(c1)-n1nccn1	1395
184129	C[C@H]1OCCN([C@@H]1Cc1cccc(c1)-n1nccn1)C(=O)c1cc(C)ccc1-n1nccn1	2382
184130	C[C@H]1OCCN([C@@H]1Cc1cccc(c1)-n1nccn1)C(=O)c1ccc(C)cc1-n1nccn1	3505
184131	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2Cl)-n2nccn2)c(c1C)-n1nccn1	2440
184132	Clc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2Cl)-n2nccn2)c(c1)-n1nccn1	451
184133	Clc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cccc(Cl)c1-n1nccn1)-n1nccn1	675
184134	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1cccc(Cl)c1-n1nccn1	93
184135	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1cccc(Cl)c1-n1nccn1	455
184136	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1F)-c1ncon1)-n1nccn1	642
184137	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncon2)c(c1)-n1nccn1	359
184138	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cc(Cl)ccc1-n1nccn1)-c1ncon1	240
184139	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncon2)c1-n1nccn1	893
184140	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccc(Cl)cc1-n1nccn1)-c1ncon1	165
184141	Cc1cc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncon2)c(cc1C)-n1nccn1	34
184142	Fc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cccc(Cl)c1-n1nccn1)-c1ncon1	830
184143	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-c2ncon2)c(c1C)-n1nccn1	1567
184144	FC(F)(F)c1cccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c1-n1nccn1	371
184145	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2F)-n2nccn2)c(c1)-n1nccn1	2130
184146	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1cc(Cl)ccc1-n1nccn1	96
184147	C[C@@H]1CN([C@H](Cc2cccc(c2)-n2nccn2)CO1)C(=O)c1ccc(Cl)cc1-n1nccn1	39
184148	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1cc(Cl)ccc1-n1nccn1	181
184149	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1ccc(Cl)cc1-n1nccn1	58
184150	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1C)-n1cccn1)-n1nccn1	2130
184151	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2C)-n2cccn2)c(c1)-n1nccn1	1090
184152	Cc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cccc(C)c1-n1nccn1)-n1cccn1	3770
184153	Cc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccc(Cl)cc1-n1nccn1)-n1nccn1	1040
184154	Cc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncccn1	2606
184155	Cc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1nccs1	238
184156	Clc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncccn1	2257
184157	Oc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncccn1	2010
202867	COc1cccc(OC)c1[C@H]1CCCC(=O)N1Cc1ccc2ccccc2n1	41
202868	COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2n1	329
202869	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cnc(OC(F)F)c(Cl)c1	38
202870	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(n1)-c1ccc(F)cc1	142
202871	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1cccnc1	55
202872	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cncc(c1)-c1ccccc1	700
202873	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccncc1	64
202874	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)N1CCCCC1	46
202875	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1nccs1	4
202876	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc2ccccc12	23
202877	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)N1CCOCC1	661
202878	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(s1)-c1ccccc1	38
202879	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-n1cccn1	26
202880	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2nccnc2c1	864
202881	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cnc(s1)-c1ccccc1	366
202882	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc(ccn1)-c1ccccc1	131
202883	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-n1cncn1	471
202884	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)N1CCCC1	31
202885	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc(on1)-c1ccccc1	902
202886	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cnn(c1)-c1ccccc1	115
202887	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-n1ccnc1	181
202888	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(n1)N1CCCCC1	11
202889	COc1cccc(OC)c1C1CCCC(=O)N1Cc1nc2ccccc2s1	858
202890	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2n(C)c3ccccc3c2c1	132
202891	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1noc(C)n1	50
202892	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(c1)N1CCCC1	2060
202893	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(Br)c1	1150
202894	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1F)-c1ccccn1	64
202895	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(n1)-c1ccccn1	87
202896	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(n1)-c1nccs1	147
202897	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc(ccc1F)-c1ccccn1	696
202898	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(F)c(c1)-c1ccccn1	26
202899	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1cncs1	17
202900	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ncc(C)s1	6
202901	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1cscn1	17
202902	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-n1ccnn1	239
202903	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2nc(C)sc2c1	165
202904	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc(ccc1Cl)-c1ccccn1	625
202905	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc(Cl)cc(c1)-c1ccccn1	11
202906	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccnc(c1)-c1ccccn1	119
202907	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(n1)-n1cccn1	213
202908	COc1ccnc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1nccs1	22
202909	COc1ccnc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1csc(C)n1	13
202910	COc1ccnc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccn1	95
202911	COc1ccnc(OC)c1C1CCCC(=O)N1Cc1ccc2nc(C)sc2c1	1530
202912	COc1ccnc(OC)c1C1CCCC(=O)N1Cc1ccc(F)c(c1)-c1ccccn1	135
202913	COc1ccnc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccc1	34
202914	COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1nccs1	26
202915	COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1csc(C)n1	33
202916	COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccn1	90
202917	COc1cncc(OC)c1C1CCCC(=O)N1Cc1csc(n1)-c1ccccc1	246
202918	COc1cncc(OC)c1C1CCCC(=O)N1Cc1ccc2oc3ccccc3c2c1	1
202919	COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(n1)-n1cccn1	3700
202920	COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-n1nccn1	156
202921	COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccc1	31
202922	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cnc(OC(F)F)c(C)c1	77
202923	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cnc(OC(F)F)c(c1)C1CC1	400
202924	COc1cccc(OC)c1C1CCCC(=O)N1Cc1csc(C)n1	6190
202925	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1ccccc1	12
202926	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc(Oc2ccccc2)cc1	187
202927	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(Oc2ccccc2)c1	98
202928	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc2ccccc2c1	32
202929	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc2ccccc12	27
202930	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc(cc1)-c1ccccc1	188
202931	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccccc1-c1ccccc1	806
202932	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc2ccccc2n1	82
202933	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cnc2ccccc2c1	1041
202934	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccnc(c1)-c1ccccc1	58
202935	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(n1)-c1ccccc1	26
202936	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1ncccn1	19
202937	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1ccccn1	7
202938	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1nccs1	3
202939	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc2n(C)c3ccccc3c2c1	71
202940	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1cccnc1	46
202941	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)N1CCCCC1	58
202942	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cnc(OC(F)F)c(Cl)c1	85
202943	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc2oc3ccccc3c2c1	3
202944	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1csc(C)n1	3
202945	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cncc(c1)-c1ccccc1	455
202946	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)N1CCCC1	16
202947	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cnn(c1)-c1ccccc1	378
202948	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc2sc(C)nc2c1	29
202949	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1ccncc1	85
202950	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-n1cccn1	20
202951	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1csc(n1)-c1ccccc1	6
202952	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1cncs1	34
202953	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1ncc(C)s1	3
202954	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-n1nccn1	33
202955	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1)-c1cscn1	19
202956	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccnc(c1)-n1cccn1	86
202957	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(n1)-n1cccn1	429
202958	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc2nc(C)sc2c1	258
202959	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cccc(c1F)-c1ccccn1	60
202960	COc1cccc(OC)c1C1CCCCC(=O)N1Cc1ccc(F)c(c1)-c1ccccn1	22
202961	COc1cc(OC)c(C2CCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1	271
202962	COc1cccc(OC)c1C1CCC(=O)N1Cc1cnc2ccccc2c1	44
202963	COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc2ccccc2n1	136
202964	COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc2ccccc2c1	113
202965	COc1cccc(OC)c1C1CCC(=O)N1Cc1cnc(OC(F)F)c(Cl)c1	107
202966	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-c1ccccc1	34
202967	COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc(cc1)-c1ccccc1	184
202968	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-c1cccnc1	249
202969	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc2ccccc12	291
202970	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(Oc2ccccc2)c1	65
202971	COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc(Oc2ccccc2)cc1	58
202972	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-c1ccccn1	56
202973	COc1cccc(OC)c1C1CCC(=O)N1Cc1ccnc(c1)-c1ccccc1	121
202974	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(n1)-c1ccccc1	105
202975	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1ccccc1	70
202976	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)N1CCCC1	74
202977	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-c1nccs1	89
202978	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-c1csc(C)n1	82
202979	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-n1cccn1	839
202980	COc1cccc(OC)c1C1CCC(=O)N1Cc1nc2ccccc2s1	2050
202981	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)N1CCCCC1	858
202982	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(n1)N1CCCCC1	690
202983	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccc2ccccc2c1	455
202984	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1nccs1	44
202985	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1csc(C)n1	24
202986	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)N1CCCCC1	157
202987	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-n1cccn1	264
202988	COc1cccc(OC)c1C1CCC(=O)N1Cc1cccc(c1)-c1noc(C)n1	547
202989	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(n1)-c1ccccc1	29
202990	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccnc(c1)-c1ccccc1	172
202991	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1ccccn1	73
202992	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1cccnc1	28
202993	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1ncccn1	40
202994	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1noc(C)n1	46
202995	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cnn(c1)-c1ccccc1	318
202996	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1csc(n1)-c1ccccc1	54
202997	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1F)-c1ccccn1	230
202998	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1cncs1	114
202999	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1ncc(C)s1	21
203000	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-n1nccn1	77
203001	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(c1)-c1cscn1	47
203002	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccc2nc(C)sc2c1	703
203003	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cc(Cl)cc(c1)-c1ccccn1	270
203004	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccc(F)c(c1)-c1ccccn1	122
203005	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccnc(c1)-n1cccn1	204
203006	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(n1)-n1cccn1	1180
203007	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(F)cc1	231
203008	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(Cl)cc1	154
203009	COc1ccc(CN2C(CCCC2=O)c2c(OC)cccc2OC)cc1	397
203010	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)c(F)c1	18
203011	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)c(Cl)c1	62
203012	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(SC(F)(F)F)cc1	62
203013	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(cc1)C(F)(F)F	171
203014	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)F)cc1	31
203015	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2OCOc2c1	549
203016	COc1cc(Cl)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	28
203017	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(cc1)-n1cccn1	453
203018	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(cc1)-n1cccc1	190
203019	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2nonc2c1	766
203020	COc1ccc2cc(CN3C(CCCC3=O)c3c(OC)cccc3OC)ccc2c1	66
203021	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OCCF)cc1	61
203022	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)F)nc1	92
203023	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(OC(F)F)c1	78
203024	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc2ccccc2o1	170
203025	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc2ccccc2s1	252
203026	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2OC(F)(F)Oc2c1	178
203027	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(OC(F)F)n1	64
203028	COc1cccc(OC)c1C1CCCC(=O)N1C(C)c1cnc(OC(F)F)c(Cl)c1	34
203029	CCC(N1C(CCCC1=O)c1c(OC)cccc1OC)c1ccc(OC(F)(F)F)cc1	5650
203030	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)F)cn1	70
203031	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc(OC(F)F)ccn1	484
203032	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccccc1Oc1ccccc1	50
203033	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(Oc2ccccc2)nc1	29
203034	CCOc1ccccc1C1CCC(=O)N1Cc1ccc(F)cc1	669
203035	CCOc1ccccc1C1CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	240
203036	COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc(F)cc1	1305
203037	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(OC(F)F)c1	96
203038	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccc(OC(F)F)nc1	621
203039	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(OC(F)(F)F)c1	108
203040	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(OC(F)F)n1	192
203041	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1ccnc(OC(F)F)c1	923
203042	CCC(N1C(CC(C)C1=O)c1c(OC)cccc1OC)c1ccc(OC(F)(F)F)cc1	1170
203043	COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cc(OC(F)F)ccn1	1260
203044	CCOc1ccc(CN2C(CCCC2=O)c2c(OC)cccc2OC)cc1	65
203045	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(C)C)cc1	16
203046	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OCC2CC2)cc1	39
203047	COc1cccc(OCCCO)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	286
203048	COc1cccc(OCC2CC2)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	4137
203049	COCCOc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	664
203050	COc1cccc(OCCO)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	85
203051	COc1cccc(OCC(O)CO)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	735
203052	COc1cccc(c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1)C(F)(F)F	2950
203053	Fc1cccc(F)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	2466
203054	COc1cc(F)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(F)c1	5479
203055	Cc1ccc(F)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c1F	2437
203056	Fc1cccc(c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1)C(F)(F)F	5896
203057	FC(F)(F)Oc1ccc(CN2C(CCCC2=O)c2c(Cl)cccc2Cl)cc1	456
203058	Fc1cccc(Cl)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	1193
203059	COc1cccc(OC(C)C)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	85
203060	COc1cc(F)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	27
203061	COc1cc(C)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	107
203062	COc1cc(F)cc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccc1	232
203063	COc1ccc2c(C)noc2c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccc1	194
203064	COc1ccccc1C1CCCC(=O)N1Cc1ccc2ccccc2c1	369
203065	FC(F)(F)c1ccccc1C1CCCC(=O)N1Cc1ccc2ccccc2c1	3585
203066	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2NCCCc2c1	596
203067	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2n(C)ccc2c1	275
203068	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cn2ccccc2n1	1390
203069	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2n(C)nnc2c1	311
203070	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(cc1)N1CCCC1	132
203071	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OCC(F)(F)F)cc1	11
203072	COc1cccc(OC)c1C1CCCC(=O)N1Cc1cc2ccccc2n1C	41
203073	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(cc1)S(C)(=O)=O	1710
203074	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2oc(C)nc2c1	223
203075	COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2sccc2c1	140
203076	CCOc1ccccc1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1	426
203077	FC(F)(F)Oc1ccc(CN2C(CCCC2=O)c2ccccc2OC(F)(F)F)cc1	2662
203078	COc1cccc(OC)c1[C@@H]1C[C@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	670
203079	CO[C@H]1C[C@H](N(Cc2ccc(OC(F)(F)F)cc2)C1=O)c1c(OC)cccc1OC	168
203080	COc1cccc(OC)c1[C@@H]1C[C@@H](F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	242
203081	COc1cccc(OC)c1[C@@H]1C[C@@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	563
203082	COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	59
203083	COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	126
203084	COc1cccc(OC)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	19
203085	COc1cccc(OC)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	41
203086	CO[C@@H]1C[C@H](N(Cc2ccc(OC(F)(F)F)cc2)C1=O)c1c(OC)cccc1OC	6940
203087	CC[C@H]1C[C@H](N(Cc2ccc(OC(F)(F)F)cc2)C1=O)c1c(OC)cccc1OC	3610
203088	COc1cccc(OC)c1[C@@H]1C[C@@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	19
203089	COc1cccc(F)c1[C@@H]1C[C@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	1090
203090	COc1ncnc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1csc(C)n1	619
203091	COc1ncnc(OC)c1C1CCCC(=O)N1Cc1cccc(c1)-c1ccccc1	412
203092	COc1ncnc(OC)c1C1CCCC(=O)N1Cc1csc(n1)-c1ccccc1	256
