BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
154974	Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Cl)c(c2)C(F)(F)F)c1	19
154975	Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	158
154976	Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(C)c(Cl)cc2C)c1	171
154977	Cc1ccc(c(C)c1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cc(C)cc(C)c1	108
154978	Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)cc2C)c1	22
154979	Cc1cc(C)cc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)cc2Cl)c1	106
154980	COc1ccc(cc1)S(=O)(=O)N1CCC[C@@H]1C(=O)Nc1cc(C)cc(C)c1	6044
183960	Cc1ccc(c(c1)C(=O)N1CCCC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	2
183961	O=C(N1CCCC[C@H]1Cc1cccc(c1)-n1nccn1)c1ccccc1-n1nccn1	12
183962	Cc1ccc(c(c1)C(=O)N1CCC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	8
183963	O=C(N1CCC[C@H]1Cc1cccc(c1)-n1nccn1)c1ccccc1-n1nccn1	40
183964	O=C(N1CCOC[C@H]1Cc1cccc(c1)-c1ncon1)c1ccccc1-n1nccn1	803
183965	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncon1)-n1nccn1	406
183966	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ccccn1	3340
183967	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1cccnc1	1880
183968	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncccn1	2950
183969	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1cnccn1	1940
183970	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1cccnn1	6090
183971	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1nccs1	335
183972	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1ncco1	468
183973	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1cccs1	31
183974	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	196
183975	O=C(N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)c1ccccc1-n1nccn1	1235
183976	O=C(N1CCOC[C@@H]1Cc1cccc(c1)-n1nccn1)c1ccccc1-n1nccn1	4439
183977	COc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-n1cccn1	905
183978	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1ccnn1)-n1nccn1	3160
183979	O=C(N1CCOC[C@H]1Cc1cccc(c1)-n1cccn1)c1ccccc1-n1nccn1	1822
183980	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncccn1)-n1nccn1	396
183981	O=C(N1CCOC[C@H]1Cc1cccc(c1)-c1ncccn1)c1ccccc1-n1nccn1	1892
183982	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1cccn1)-n1nccn1	369
